Options used:
   --mesh ./data/part.msh
   --order 2
   --refine-parallel 3
   --name Rapport/Heatsim_32_3
   --processeurs 32
Number of Elements before refinement: 14008
Number of Elements after refinement: 225280
Number of finite element unknowns: 9823399


 Num MPI tasks = 32

 Num OpenMP threads = 1


BoomerAMG SETUP PARAMETERS:

 Max levels = 25
 Num levels = 8

 Strength Threshold = 0.250000
 Interpolation Truncation Factor = 0.000000
 Maximum Row Sum Threshold for Dependency Weakening = 0.900000

 Coarsening Type = HMIS 

 No. of levels of aggressive coarsening: 1

 Interpolation on agg. levels= multipass interpolation
 measures are determined locally


 No global partition option chosen.

 Interpolation = extended+i interpolation

Operator Matrix Information:

             nonzero             entries/row          row sums
lev    rows   entries sparse   min  max     avg      min         max
=======================================================================
  0 9823399 277930207  0.000    10  147    28.3  -1.041e-02   1.000e+00
  1  352486  13617296  0.000     6   77    38.6  -4.171e-03   9.863e-02
  2   76072   5591086  0.001    16  144    73.5  -1.761e-04   1.245e-01
  3   10032    858170  0.009    18  177    85.5  -1.884e-06   2.514e-01
  4    1238     90786  0.059    13  182    73.3  -4.127e-13   9.080e-01
  5     172      8406  0.284    12  115    48.9   3.567e-05   1.955e+00
  6      22       396  0.818     9   22    18.0   1.300e-01   4.418e+00
  7       2         4  1.000     2    2     2.0   5.405e-01   1.479e+00


Interpolation Matrix Information:
                        entries/row        min        max            row sums
lev    rows x cols    min  max  avgW     weight      weight       min         max
====================================================================================
  0 9823399 x 352486    0   14   1.8   6.536e-04   1.250e+00   0.000e+00   1.250e+00
  1  352486 x 76072     1    4   4.0  -4.267e-02   1.000e+00   3.943e-01   1.018e+00
  2   76072 x 10032     1    4   4.0   7.884e-03   9.295e-01   2.854e-01   1.002e+00
  3   10032 x 1238      1    4   4.0   7.947e-03   8.189e-01   1.673e-01   1.000e+00
  4    1238 x 172       0    4   4.0  -1.530e+00   9.203e-01   0.000e+00   1.000e+00
  5     172 x 22        0    4   3.1  -3.727e-01   5.674e-01  -1.895e-02   1.000e+00
  6      22 x 2         0    2   0.2   1.330e-02   4.865e-02   0.000e+00   1.000e+00


     Complexity:    grid = 1.044793
                operator = 1.072558
                memory = 1.140164




BoomerAMG SOLVER PARAMETERS:

  Maximum number of cycles:         1 
  Stopping Tolerance:               0.000000e+00 
  Cycle type (1 = V, 2 = W, etc.):  1

  Relaxation Parameters:
   Visiting Grid:                     down   up  coarse
            Number of sweeps:            1    1     1 
   Type 0=Jac, 3=hGS, 6=hSGS, 9=GE:      8    8     9 
   Point types, partial sweeps (1=C, -1=F):
                  Pre-CG relaxation (down):   0
                   Post-CG relaxation (up):   0
                             Coarsest grid:   0

   Iteration :   0  (B r, r) = 0.0329951
   Iteration :   1  (B r, r) = 0.0163831
   Iteration :   2  (B r, r) = 0.00119594
   Iteration :   3  (B r, r) = 0.000214492
   Iteration :   4  (B r, r) = 4.2411e-05
   Iteration :   5  (B r, r) = 8.91251e-06
   Iteration :   6  (B r, r) = 2.34379e-06
   Iteration :   7  (B r, r) = 7.64823e-07
   Iteration :   8  (B r, r) = 2.61918e-07
   Iteration :   9  (B r, r) = 8.47401e-08
   Iteration :  10  (B r, r) = 2.8246e-08
   Iteration :  11  (B r, r) = 1.04345e-08
   Iteration :  12  (B r, r) = 3.95812e-09
   Iteration :  13  (B r, r) = 1.40607e-09
   Iteration :  14  (B r, r) = 4.96531e-10
   Iteration :  15  (B r, r) = 1.86607e-10
   Iteration :  16  (B r, r) = 7.06815e-11
   Iteration :  17  (B r, r) = 2.65711e-11
   Iteration :  18  (B r, r) = 9.8528e-12
   Iteration :  19  (B r, r) = 3.46549e-12
   Iteration :  20  (B r, r) = 1.17228e-12
   Iteration :  21  (B r, r) = 3.98407e-13
   Iteration :  22  (B r, r) = 1.41272e-13
   Iteration :  23  (B r, r) = 5.06556e-14
   Iteration :  24  (B r, r) = 1.72482e-14
   Iteration :  25  (B r, r) = 5.67375e-15
   Iteration :  26  (B r, r) = 1.99029e-15
   Iteration :  27  (B r, r) = 7.80735e-16
   Iteration :  28  (B r, r) = 3.06367e-16
   Iteration :  29  (B r, r) = 1.04366e-16
   Iteration :  30  (B r, r) = 3.20712e-17
   Iteration :  31  (B r, r) = 1.0145e-17
   Iteration :  32  (B r, r) = 3.48915e-18
   Iteration :  33  (B r, r) = 1.21808e-18
   Iteration :  34  (B r, r) = 4.07732e-19
   Iteration :  35  (B r, r) = 1.3458e-19
   Iteration :  36  (B r, r) = 4.52229e-20
   Iteration :  37  (B r, r) = 1.50756e-20
   Iteration :  38  (B r, r) = 4.94977e-21
   Iteration :  39  (B r, r) = 1.71987e-21
   Iteration :  40  (B r, r) = 6.52566e-22
   Iteration :  41  (B r, r) = 2.51245e-22
   Iteration :  42  (B r, r) = 8.97631e-23
   Iteration :  43  (B r, r) = 3.00268e-23
   Iteration :  44  (B r, r) = 9.93734e-24
   Iteration :  45  (B r, r) = 3.22206e-24
   Iteration :  46  (B r, r) = 1.01432e-24
   Iteration :  47  (B r, r) = 3.23033e-25
   Iteration :  48  (B r, r) = 1.10573e-25
   Iteration :  49  (B r, r) = 4.14712e-26
   Iteration :  50  (B r, r) = 1.59779e-26
Average reduction factor = 0.571282
